City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
281,Hithadhoo,-0.6,73.0833,83.37,73,100,13.98,MV,2022-05-23 01:20:11
282,Geraldton,-28.7667,114.6,68.41,64,75,18.41,AU,2022-05-23 01:17:50
283,Udachnyy,66.4167,112.4,57.45,40,100,15.21,RU,2022-05-23 01:17:53
284,Beringovskiy,63.05,179.3167,42.82,72,76,10.6,RU,2022-05-23 01:20:59
285,Saint Anthony,45.0205,-93.218,56.66,45,20,5.75,US,2022-05-23 01:21:00
286,Hambantota,6.1241,81.1185,79.61,84,98,15.68,LK,2022-05-23 01:21:00
287,Mwingi,-0.9344,38.0601,63.03,88,64,3.96,KE,2022-05-23 01:21:01
288,Cabedelo,-6.9811,-34.8339,75.87,87,49,13.67,BR,2022-05-23 01:21:01
289,Pacatuba,-3.9842,-38.6203,72.77,93,25,1.7,BR,2022-05-23 01:21:02
290,Pasighat,28.0667,95.3333,78.3,76,77,0.87,IN,2022-05-23 01:21:02
291,Mujiayingzi,42.1167,118.7833,78.08,27,63,6.04,CN,2022-05-23 01:21:03
292,Miyazu,35.5333,135.1833,70.0,59,1,8.12,JP,2022-05-23 01:17:45
293,Stabat,3.761,98.4513,82.6,93,100,1.68,ID,2022-05-23 01:21:04
